index,electronic,pid_value,time
1,0.021899,754.74475,0.267
2,0.021899,754.74475,0.533
3,2.99852,754.19965,0.800
4,2.962647,732.4281,1.067
5,3.1742,731.92291,1.333
6,3.671503,731.54572,1.600
7,4.44176,731.18378,1.867
8,4.843459,730.87439,2.133
9,4.879763,730.57703,2.400
10,4.983256,729.99896,2.667
11,5.251218,729.70856,2.933
12,5.761962,729.17822,3.200
13,5.947849,728.94232,3.467
14,6.107094,728.44476,3.733
15,6.374299,728.00555,4.000
16,6.540394,727.77136,4.267
17,6.67735,727.33154,4.533
18,6.90074,726.89209,4.800
19,7.133889,726.48151,5.067
20,7.271669,726.0711,5.333
21,7.440475,725.68927,5.600
22,7.553783,725.27875,5.867
23,7.722723,724.89813,6.133
24,7.830117,724.54541,6.400
25,7.91039,724.16351,6.667
26,8.10951,723.81079,6.933
27,8.270477,723.25275,7.200
28,8.410712,722.90063,7.467
29,8.506874,722.57764,7.733
30,8.567513,722.22437,8.000
31,8.698678,721.87146,8.267
32,8.754727,721.37146,8.533
33,8.8227,721.04828,8.800
34,8.858965,720.69427,9.067
35,8.886677,720.22546,9.333
36,8.901866,719.8728,9.600
37,8.945184,719.40259,9.867
38,8.956721,719.04999,10.133
39,8.961859,718.57996,10.400
40,8.977305,718.2569,10.667
41,8.988926,717.90442,10.933
42,8.976016,717.43451,11.200
43,8.982467,717.11145,11.467
44,8.967002,716.61224,11.733
45,8.964429,716.28925,12.000
46,8.977305,715.96594,12.267
47,9.052723,715.46655,12.533
48,9.149466,715.14288,12.800
49,9.203357,714.81952,13.067
50,9.233269,714.34924,13.333
51,9.251036,713.87921,13.600
52,9.282638,713.55603,13.867
53,9.245562,713.23291,14.133
54,9.184423,712.44025,14.400
55,9.093554,711.94147,14.667
56,9.031792,711.61877,14.933
57,8.938787,711.14935,15.200
58,8.880363,710.79724,15.467
59,8.818964,710.47461,15.733
60,8.725394,709.97583,16.000
61,8.658908,709.62378,16.267
62,8.594609,709.30115,16.533
63,8.535919,708.94904,16.800
64,8.435686,708.42145,17.067
65,8.375771,708.09967,17.333
66,8.307856,707.7218,17.600
67,8.21072,707.3681,17.867
68,8.143323,707.01697,18.133
69,8.078067,706.49036,18.400
70,8.012821,706.10999,18.667
71,7.943569,705.75885,18.933
72,7.877489,705.37854,19.200
73,7.813477,704.99817,19.467
74,7.742815,704.61786,19.733
75,7.674361,704.23749,20.000
76,7.608034,703.85767,20.267
77,7.535568,703.47839,20.533
78,7.466252,703.09906,20.800
79,7.399076,702.69043,21.067
80,7.329659,702.31122,21.333
81,7.256472,701.90271,21.600
82,7.184734,701.4942,21.867
83,7.018529,701.08575,22.133
84,6.718263,700.65063,22.400
85,6.399099,700.41895,22.667
86,6.239393,699.98523,22.933
87,5.906256,699.49481,23.200
88,5.738156,699.23535,23.467
89,5.375882,698.71826,23.733
90,5.196209,698.43182,24.000
91,5.004404,698.14557,24.267
92,4.612546,697.54681,24.533
93,4.401718,697.23444,24.800
94,4.193505,696.89478,25.067
95,3.980385,696.5277,25.333
96,3.751275,696.16248,25.600
97,3.52331,695.77081,25.867
98,3.274652,695.32428,26.133
99,3.018157,694.88208,26.400
100,2.764753,694.38806,26.667
101,2.49004,693.84283,26.933
102,2.49004,693.84283,27.200
103,2.197841,693.22321,27.467
104,2.197841,693.22321,27.733
105,1.895835,692.53613,28.000
106,1.895835,692.53613,28.267
107,1.895835,692.53613,28.533
108,1.550368,691.67834,28.800
109,1.550368,691.67834,29.067
110,1.550368,691.67834,29.333
111,1.225586,690.67908,29.600
112,1.225586,690.67908,29.867
113,1.225586,690.67908,30.133
114,1.225586,690.67908,30.400
115,0.945365,689.41266,30.667
116,0.945365,689.41266,30.933
117,0.945365,689.41266,31.200
118,0.945365,689.41266,31.467
119,0.945365,689.41266,31.733
120,0.945365,689.41266,32.000
121,0.945365,689.41266,32.267
122,0.509942,687.1723,32.533
123,0.509942,687.1723,32.800
124,0.509942,687.1723,33.067
125,0.509942,687.1723,33.333
126,0.509942,687.1723,33.600
127,0.509942,687.1723,33.867
128,0.509942,687.1723,34.133
129,0.509942,687.1723,34.400
130,0.509942,687.1723,34.667
131,0.509942,687.1723,34.933
